end of minor GC,211
end of minor GC,456
end of minor GC,484
end of minor GC,0
end of major GC,972
end of minor GC,0
end of major GC,1192
end of minor GC,0
end of major GC,1401
end of major GC,1596
end of major GC,1663
end of major GC,1438
end of major GC,1389
end of major GC,1711
end of major GC,1410
end of major GC,1473
end of major GC,1395
end of major GC,1734
end of major GC,1409
end of major GC,1407
end of major GC,1400
end of major GC,1760
end of major GC,1412
end of major GC,1434
end of major GC,1409
end of major GC,1756
end of major GC,1408
end of major GC,1408
end of major GC,1398
end of major GC,1743
end of major GC,1427
end of major GC,1395
end of major GC,1401
end of major GC,1764
end of major GC,1380
end of major GC,1412
end of major GC,1389
end of major GC,1733
end of major GC,1388
end of major GC,1426
end of major GC,1423
end of major GC,1727
end of major GC,1394
end of major GC,1409
end of major GC,1382
end of major GC,1729
