339,34179,26,end of minor GC,78
732,73605,36,end of minor GC,170
1129,113488,55,end of minor GC,184
1129,113488,55,end of major GC,447
1532,154429,61,end of minor GC,138
1532,154429,61,end of major GC,528
1936,195508,73,end of major GC,707
2341,236727,86,end of major GC,824
2701,273560,95,end of major GC,906
2874,291770,95,end of major GC,999
2969,302271,95,end of major GC,978
3014,307749,95,end of major GC,1005
3042,311556,95,end of major GC,1045
3056,314002,95,end of major GC,1047
3064,315848,95,end of major GC,1032
3067,317182,95,end of major GC,1028
3069,318410,95,end of major GC,1003
3070,319512,95,end of major GC,1106
