292,29214,27,end of minor GC,30
670,67057,37,end of minor GC,56
1067,106827,56,end of minor GC,64
1474,147600,78,end of minor GC,0
1474,147600,78,end of major GC,93
1882,188503,74,end of minor GC,0
1882,188503,74,end of major GC,124
2294,229840,90,end of minor GC,0
2294,229840,90,end of major GC,142
2712,271795,100,end of major GC,167
2931,294014,92,end of major GC,171
3052,306118,100,end of major GC,185
3107,311804,100,end of major GC,158
3110,312262,100,end of major GC,193
3154,316857,100,end of major GC,161
3157,317318,100,end of major GC,157
3158,317574,100,end of major GC,162
3158,317574,100,end of major GC,184
3177,319822,100,end of major GC,159
3180,320281,100,end of major GC,159
3181,320540,100,end of major GC,158
3181,320540,100,end of major GC,180
3189,321678,100,end of major GC,162
3191,322040,100,end of major GC,159
3192,322299,100,end of major GC,160
3192,322299,100,end of major GC,179
3197,323139,100,end of major GC,169
3197,323139,100,end of major GC,157
3197,323139,100,end of major GC,182
3200,324095,100,end of major GC,179
3201,324253,100,end of major GC,157
3201,324253,100,end of major GC,155
